Generic Access,org.bluetooth.service.generic_access,0x1800,GAP
Alert Notification Service,org.bluetooth.service.alert_notification,0x1811,ALERT
Automation IO,org.bluetooth.service.automation_io,0x1815,AUTOMATION
Battery Service,org.bluetooth.service.battery_service,0x180F,BATTERY
Blood Pressure,org.bluetooth.service.blood_pressure,0x1810,BLOOD
Body Composition,org.bluetooth.service.body_composition,0x181B,BODYCOMP
Bond Management Service,org.bluetooth.service.bond_management,0x181E,BONDMGT
Continuous Glucose Monitoring,org.bluetooth.service.continuous_glucose_monitoring,0x181F,CGM
Current Time Service,org.bluetooth.service.current_time,0x1805,CURRENTTIME
Cycling Power,org.bluetooth.service.cycling_power,0x1818,CYCLINGPWR
Cycling Speed and Cadence,org.bluetooth.service.cycling_speed_and_cadence,0x1816,CYCLINGSPEED
Device Information,org.bluetooth.service.device_information,0x180A,DEVINFO
Environmental Sensing,org.bluetooth.service.environmental_sensing,0x181A,ENVIRON
Fitness Machine,org.bluetooth.service.fitness_machine,0x1826,FITNESS
Generic Attribute,org.bluetooth.service.generic_attribute,0x1801,GATT
Glucose,org.bluetooth.service.glucose,0x1808,GLUCOSE
Health Thermometer,org.bluetooth.service.health_thermometer,0x1809,HEALTHTHERM
Heart Rate,org.bluetooth.service.heart_rate,0x180D,HEART
HTTP Proxy,org.bluetooth.service.http_proxy,0x1823,HTTP
Human Interface Device,org.bluetooth.service.human_interface_device,0x1812,HID
Immediate Alert,org.bluetooth.service.immediate_alert,0x1802,IMMALERT
Indoor Positioning,org.bluetooth.service.indoor_positioning,0x1821,INDOOR
Insulin Delivery,org.bluetooth.service.insulin_delivery,0x183A,INSULIN
Internet Protocol Support Service,org.bluetooth.service.internet_protocol_support,0x1820,IP
Link Loss,org.bluetooth.service.link_loss,0x1803,LINK
Location and Navigation,org.bluetooth.service.location_and_navigation,0x1819,LOCNAV
Mesh Provisioning Service,org.bluetooth.service.mesh_provisioning,0x1827,MESH
Mesh Proxy Service,org.bluetooth.service.mesh_proxy,0x1828,MESHPROXY
Next DST Change Service,org.bluetooth.service.next_dst_change,0x1807,DST
Object Transfer Service,org.bluetooth.service.object_transfer,0x1825,OTS
Phone Alert Status Service,org.bluetooth.service.phone_alert_status,0x180E,PHONEALERT
Pulse Oximeter Service,org.bluetooth.service.pulse_oximeter,0x1822,PULSEOXI
Reconnection Configuration,org.bluetooth.service.reconnection_configuration,0x1829,RECONN
Reference Time Update Service,org.bluetooth.service.reference_time_update,0x1806,REFTIME
Running Speed and Cadence,org.bluetooth.service.running_speed_and_cadence,0x1814,RUNSPEED
Scan Parameters,org.bluetooth.service.scan_parameters,0x1813,SCANPARAM
Transport Discovery,org.bluetooth.service.transport_discovery,0x1824,TRANSP
